task_name,task_type,days_until_deadline,remaining_days,required_hours,progress_percent,current_cgpa,task_weight,weightage_marks,difficulty_level,stress_level,past_delay_history,dependency_count,risk_score,delay_days,will_delay
Final Year Project #4,project,4,0,7.4,85,6.83,46,88,easy,medium,1,0,45.6,10,1
Computer Graphics Assignment (Sem 7),assignment,4,1,52.2,78,5.43,16,41,easy,low,7,5,66.0,4,1
IoT Based Project,project,28,24,79.3,61,5.28,9,21,hard,low,2,6,46.7,0,0
Network Lab - Packet Analysis,lab_experiment,30,30,39.6,85,8.06,11,89,hard,medium,8,4,44.1,3,1
Group Project - Web App,project,24,19,27.5,50,5.47,23,65,hard,medium,2,3,51.3,13,1
Research Project (Sem 3),project,27,23,79.2,95,6.55,29,38,hard,critical,7,2,59.9,3,1
Mobile App Development (Sem 4),project,34,29,50.3,22,4.89,6,11,easy,medium,7,0,46.2,0,0
Computer Graphics Assignment #2,assignment,5,2,53.9,88,9.18,29,24,easy,high,3,4,49.3,2,1
Practical Exam #3,exam,26,26,55.4,87,9.27,15,40,hard,high,8,4,51.1,8,1
Compiler Lab - Lexical Analysis #1,lab_experiment,22,22,18.7,17,9.2,19,67,hard,high,0,4,50.5,1,1
DBMS Lab - SQL Queries #2,lab_experiment,11,9,73.2,77,4.06,10,52,hard,medium,9,2,51.6,9,1
DS Lab - Linked List #2,lab_experiment,5,1,2.0,22,10.0,9,74,medium,high,9,1,75.5,11,1
ML Model Project,project,32,27,5.1,7,6.32,41,85,easy,critical,3,2,60.7,7,1
Software Engineering Assignment #1,assignment,12,12,12.4,86,9.46,24,70,easy,medium,2,1,18.2,-1,0
Software Engineering Assignment #5,assignment,7,4,62.2,43,9.53,45,35,medium,medium,9,5,58.9,8,1
Web Dev Assignment (Sem 5),assignment,4,4,43.5,2,8.36,37,88,hard,medium,6,4,71.3,9,1
DS Lab - Linked List,lab_experiment,24,22,11.6,81,9.53,26,62,medium,low,7,1,28.4,-1,0
Embedded Systems Lab #4,lab_experiment,12,11,50.1,96,8.07,39,10,medium,high,0,6,31.7,-2,0
Mini Project #1,project,23,20,75.2,2,8.95,26,23,easy,low,9,5,47.2,10,1
Mid-Semester Exam,exam,14,12,69.9,18,6.7,31,68,medium,low,0,2,33.5,-2,0
Viva Voce #1,exam,24,23,19.6,63,5.56,21,69,very_hard,low,5,4,62.5,10,1
Computer Graphics Assignment (Sem 6),assignment,31,28,60.6,54,9.95,10,83,medium,medium,5,3,41.2,4,1
Software Engineering Assignment,assignment,24,20,53.3,65,7.53,21,95,medium,high,8,6,51.1,10,1
End-Semester Exam #4,exam,25,24,55.6,45,4.8,40,27,very_hard,medium,10,5,75.0,9,1
DS Lab - Linked List,lab_experiment,26,21,4.0,19,6.1,7,11,hard,high,9,6,70.9,12,1
Algorithms Assignment (Sem 7),assignment,26,22,4.6,61,7.26,25,40,medium,medium,0,4,33.3,0,0
Mid-Semester Exam #4,exam,3,2,10.3,19,9.64,34,77,medium,high,8,5,76.6,9,1
Software Engineering Assignment #2,assignment,32,29,49.3,60,5.61,13,30,very_hard,critical,3,4,76.3,13,1
Viva Voce,exam,5,2,45.9,97,9.75,24,86,hard,critical,7,6,75.0,2,1
Web Dev Assignment (Sem 5),assignment,32,30,51.8,39,7.9,9,56,very_hard,medium,1,2,45.1,-1,0
Machine Learning Assignment,assignment,4,4,67.2,67,4.66,29,70,hard,medium,9,0,59.5,6,1
Mini Project #1,project,7,4,5.9,48,7.07,27,19,medium,critical,0,5,61.1,14,1
ML Model Project #1,project,22,17,77.7,36,9.74,27,23,hard,low,2,3,39.5,13,1
Computer Vision Lab (Sem 3),lab_experiment,23,19,7.0,54,9.64,32,46,hard,high,2,5,52.4,5,1
Network Lab - Packet Analysis #3,lab_experiment,14,9,44.6,79,4.65,19,36,very_hard,medium,9,6,66.1,4,1
AI Lab - Search Algorithms,lab_experiment,21,17,8.0,62,4.67,42,42,medium,medium,5,3,52.8,9,1
Computer Vision Lab (Sem 5),lab_experiment,28,25,33.1,4,6.83,26,70,hard,medium,10,0,58.8,4,1
Math Assignment,assignment,16,13,52.8,19,4.62,48,65,hard,medium,9,2,67.0,14,1
Viva Voce #4,exam,6,4,29.0,85,6.92,43,85,hard,high,7,2,63.3,2,1
Computer Graphics Assignment (Sem 4),assignment,11,6,18.6,96,9.33,18,88,hard,critical,0,0,42.6,5,1
Weekly Test (Sem 6),exam,27,23,46.3,58,6.97,9,83,medium,high,5,4,54.3,6,1
Mini Project (Sem 1),project,31,28,36.8,39,4.51,37,46,easy,critical,6,2,64.9,14,1
Math Assignment,assignment,20,19,67.6,17,9.96,30,85,hard,low,10,0,46.6,6,1
Research Project #1,project,15,10,18.5,84,6.61,30,89,easy,critical,4,4,51.2,-2,0
Practical Exam #2,exam,26,22,63.8,66,8.81,27,50,hard,critical,0,0,41.5,0,0
Group Project - Web App (Sem 3),project,18,13,11.2,44,8.42,46,41,medium,medium,4,0,37.8,0,0
Research Project #5,project,7,2,13.6,71,7.3,31,41,easy,high,6,6,65.9,9,1
Research Project,project,17,14,61.8,32,7.23,38,19,very_hard,critical,6,6,87.4,9,1
OS Lab - Process Scheduling,lab_experiment,30,26,8.2,59,6.91,12,68,hard,medium,2,5,47.4,0,0
Internal Assessment,exam,9,8,37.4,64,8.69,22,13,hard,medium,0,5,36.4,-1,0
Computer Graphics Assignment,assignment,15,13,35.9,47,7.67,45,43,medium,high,7,2,51.1,4,1
Mid-Semester Exam,exam,22,17,24.4,48,8.95,37,96,hard,low,8,0,41.1,0,0
Data Structures Assignment,assignment,33,29,10.5,34,4.34,17,42,hard,medium,5,5,66.9,11,1
DS Lab - Linked List (Sem 8),lab_experiment,9,7,41.6,36,6.05,42,14,hard,medium,10,6,72.0,9,1
Networking Assignment,assignment,27,22,9.3,90,8.37,44,62,hard,medium,6,5,48.4,5,1
IoT Based Project,project,14,11,31.0,66,7.09,15,75,easy,medium,6,5,43.3,0,0
Capstone Project,project,19,17,78.2,74,8.71,25,17,medium,medium,10,1,34.7,4,1
Open Source Contribution (Sem 1),project,23,21,69.7,100,5.39,47,41,easy,low,5,6,39.7,-1,0
Mini Project #2,project,27,23,67.9,11,8.4,45,33,medium,high,6,5,64.3,8,1
DBMS Lab - SQL Queries (Sem 5),lab_experiment,8,3,52.7,32,8.89,14,92,medium,high,5,5,72.0,2,1
Machine Learning Assignment,assignment,1,0,52.3,11,5.94,46,31,easy,high,10,4,92.4,1,1
Mini Project (Sem 5),project,4,4,76.3,70,8.32,24,39,medium,high,7,6,58.4,4,1
Computer Graphics Assignment #5,assignment,13,10,12.5,24,7.12,11,63,hard,high,5,3,66.3,4,1
AI Lab - Search Algorithms (Sem 5),lab_experiment,5,0,29.4,55,4.0,25,64,medium,high,4,5,85.5,1,1
Unit Test (Sem 8),exam,16,15,51.0,72,6.62,14,84,easy,high,4,5,46.0,13,1
Capstone Project #1,project,13,13,53.0,24,4.84,24,41,easy,medium,10,5,57.6,11,1
Capstone Project,project,8,3,42.0,91,5.8,47,92,medium,medium,9,6,66.5,12,1
Internal Assessment,exam,14,14,12.5,6,7.3,21,95,medium,medium,2,0,41.9,-1,0
Research Project #2,project,7,3,5.7,81,9.93,38,77,hard,high,4,5,68.6,14,1
IOT Lab Experiment #1,lab_experiment,24,22,51.8,23,6.28,42,61,hard,critical,0,5,66.6,8,1
Mid-Semester Exam #4,exam,25,24,13.7,9,6.73,5,62,medium,medium,4,6,55.7,9,1
Machine Learning Assignment,assignment,27,22,6.3,25,8.14,32,74,very_hard,medium,6,1,60.2,4,1
Mini Project,project,12,10,71.8,96,8.34,28,68,easy,low,7,6,28.6,-3,0
End-Semester Exam #3,exam,10,5,19.7,4,4.95,36,17,hard,high,6,0,79.8,9,1
Capstone Project (Sem 2),project,15,13,6.7,15,5.58,31,16,medium,high,9,4,70.1,2,1
Computer Vision Lab,lab_experiment,25,24,12.6,3,9.39,47,31,hard,high,8,0,63.1,13,1
Networking Assignment,assignment,23,23,75.2,55,6.94,20,78,hard,medium,7,2,52.0,2,1
IoT Based Project #2,project,14,14,20.1,79,9.2,16,71,medium,critical,1,2,37.8,-2,0
Computer Vision Lab,lab_experiment,11,10,2.1,80,5.15,29,14,very_hard,medium,7,0,56.9,6,1
OS Assignment #5,assignment,2,1,13.6,21,5.78,37,88,easy,medium,4,1,73.5,8,1
Practical Exam (Sem 8),exam,15,12,62.4,92,5.48,24,12,medium,high,2,3,43.0,6,1
Module Exam #2,exam,15,11,25.0,57,7.62,15,69,hard,high,1,4,45.1,3,1
Online Quiz (Sem 6),exam,13,10,67.0,80,6.3,20,70,easy,critical,1,4,42.0,-2,0
End-Semester Exam (Sem 1),exam,14,14,33.9,6,7.17,12,69,easy,high,7,3,58.0,2,1
Compiler Lab - Lexical Analysis,lab_experiment,17,17,34.8,35,5.98,49,100,medium,medium,4,1,51.9,11,1
Research Project (Sem 5),project,30,27,28.3,25,8.75,45,80,medium,high,2,5,52.5,1,1
Algorithms Assignment (Sem 3),assignment,6,5,77.2,78,9.95,16,56,hard,high,10,4,61.0,7,1
IoT Based Project #1,project,0,0,68.6,10,6.41,26,77,very_hard,medium,1,0,78.6,6,1
Networking Assignment #3,assignment,17,17,64.3,69,8.07,48,97,hard,low,6,5,48.0,1,1
Online Quiz (Sem 8),exam,26,25,51.5,24,9.78,6,15,medium,medium,3,4,42.8,1,1
Software Engineering Assignment #2,assignment,17,16,62.5,31,6.53,49,24,easy,high,7,5,60.7,9,1
Research Project #1,project,11,6,1.5,84,8.56,12,65,medium,medium,0,0,22.4,-1,0
Research Project,project,13,10,71.3,4,4.12,18,52,medium,critical,7,0,71.0,3,1
Data Structures Assignment (Sem 6),assignment,11,11,52.6,13,8.5,33,77,hard,critical,0,5,62.7,6,1
Computer Vision Lab,lab_experiment,8,7,29.1,84,5.59,17,92,easy,high,10,6,59.9,4,1
DBMS Lab - SQL Queries,lab_experiment,25,25,12.1,65,7.95,17,41,hard,medium,10,0,40.7,-2,0
Network Lab - Packet Analysis (Sem 7),lab_experiment,18,18,71.4,83,8.04,35,93,medium,medium,10,6,41.9,-2,0
Computer Graphics Assignment,assignment,26,26,67.3,56,9.46,40,11,hard,high,7,3,57.8,14,1
Capstone Project #5,project,7,6,23.9,83,5.15,20,54,hard,medium,4,1,54.4,8,1
OS Assignment,assignment,11,6,78.7,10,5.23,18,71,hard,medium,6,0,69.8,6,1
Networking Assignment,assignment,28,28,32.2,93,7.96,35,81,hard,high,5,5,53.9,8,1
Embedded Systems Lab,lab_experiment,1,0,22.1,83,4.75,32,10,easy,high,2,1,61.6,7,1
IOT Lab Experiment,lab_experiment,5,4,48.7,95,4.08,42,72,medium,high,1,0,43.2,-2,0
Computer Vision Lab (Sem 1),lab_experiment,28,24,33.6,53,6.81,40,82,very_hard,high,4,5,72.4,6,1
Web Dev Assignment,assignment,8,7,71.5,18,8.71,23,48,easy,low,3,4,43.7,5,1
DS Lab - Linked List,lab_experiment,29,28,61.4,7,7.88,23,31,hard,medium,3,0,46.9,13,1
Computer Vision Lab (Sem 1),lab_experiment,14,10,39.7,23,4.16,6,67,medium,low,2,2,41.0,-1,0
Industry Internship Project (Sem 2),project,13,13,35.4,20,5.34,45,24,medium,medium,4,2,56.5,4,1
Group Project - Web App,project,15,11,34.2,62,6.48,5,14,hard,critical,7,3,66.1,13,1
Network Lab - Packet Analysis #3,lab_experiment,22,21,49.0,49,6.91,21,80,medium,medium,9,0,42.3,-1,0
OS Lab - Process Scheduling #2,lab_experiment,27,24,49.7,39,4.38,24,41,easy,medium,1,1,34.6,0,0
Unit Test,exam,23,22,57.9,59,4.62,42,42,very_hard,high,8,2,73.4,1,1
Online Quiz,exam,25,21,62.5,19,4.41,8,16,hard,high,6,2,70.0,9,1
End-Semester Exam (Sem 6),exam,30,27,21.7,61,8.96,17,27,very_hard,medium,0,1,36.5,-1,0
Machine Learning Assignment,assignment,26,25,53.7,46,7.71,5,27,hard,low,9,4,46.3,-3,0
Open Source Contribution #1,project,23,20,17.1,91,9.83,14,28,medium,medium,2,3,25.2,-1,0
Online Quiz (Sem 6),exam,20,15,36.6,29,6.03,27,20,very_hard,low,4,5,63.9,9,1
Weekly Test #5,exam,3,1,46.7,33,9.55,22,58,easy,medium,3,3,60.6,1,1
Open Source Contribution #3,project,28,23,1.2,92,8.18,24,10,hard,low,2,3,28.0,-3,0
Digital Electronics Lab,lab_experiment,26,23,60.8,13,4.16,23,75,easy,high,3,1,52.7,6,1
Industry Internship Project,project,28,24,43.3,12,5.71,24,79,hard,medium,10,6,72.0,6,1
End-Semester Exam #1,exam,23,22,77.1,76,6.47,8,64,hard,low,8,1,39.6,-3,0
Research Project,project,22,22,45.1,55,6.66,14,37,hard,high,6,3,60.4,-1,0
Capstone Project (Sem 6),project,14,9,71.2,50,5.34,40,70,hard,high,5,2,67.0,10,1
Mini Project (Sem 8),project,6,4,57.6,14,7.18,33,12,very_hard,low,7,5,78.5,9,1
ML Model Project (Sem 3),project,16,13,58.0,21,9.01,38,24,medium,low,10,5,49.6,10,1
Embedded Systems Lab #3,lab_experiment,25,22,11.5,89,9.85,16,96,medium,critical,0,3,34.8,-1,0
Surprise Test (Sem 3),exam,29,27,8.0,31,9.53,14,45,medium,critical,1,5,53.2,3,1
DBMS Lab - SQL Queries #3,lab_experiment,5,5,65.1,66,4.89,21,53,hard,high,1,2,57.9,4,1
Internal Assessment #5,exam,1,1,42.6,93,6.29,48,87,very_hard,high,0,2,72.2,2,1
Networking Assignment #3,assignment,20,18,60.4,79,8.69,47,27,hard,medium,4,4,45.9,5,1
Digital Electronics Lab,lab_experiment,14,14,34.1,57,6.89,46,19,medium,high,6,2,54.2,3,1
Embedded Systems Lab #5,lab_experiment,33,28,4.7,99,9.22,24,32,easy,medium,7,5,32.6,0,0
DBMS Lab - SQL Queries,lab_experiment,3,1,13.8,40,9.16,30,11,hard,low,7,6,77.0,2,1
Research Project,project,8,5,62.2,82,9.4,22,35,very_hard,medium,1,0,41.8,0,0
Web Dev Assignment (Sem 7),assignment,7,5,71.6,51,8.17,10,57,medium,medium,8,3,49.8,-1,0
IoT Based Project #1,project,16,12,31.6,98,8.49,15,76,medium,medium,10,5,36.9,0,0
Surprise Test (Sem 2),exam,33,30,77.2,97,4.44,49,35,very_hard,medium,5,6,65.5,5,1
DBMS Lab - SQL Queries,lab_experiment,7,2,12.2,62,8.47,32,46,medium,medium,8,6,60.8,4,1
Algorithms Assignment (Sem 8),assignment,22,22,2.4,5,8.39,19,70,hard,low,1,4,43.9,-1,0
DBMS Assignment #5,assignment,14,14,62.7,32,5.7,5,86,medium,low,5,3,50.1,8,1
Mini Project #3,project,23,18,13.1,2,4.26,23,29,hard,medium,7,2,67.9,1,1
End-Semester Exam #4,exam,11,9,76.9,31,9.91,38,79,hard,medium,10,1,51.6,-2,0
Practical Exam,exam,15,14,20.4,98,4.35,29,22,medium,high,8,4,53.3,1,1
Internal Assessment,exam,3,0,18.0,0,5.89,43,90,hard,high,0,3,89.3,13,1
Mini Project (Sem 1),project,12,8,34.9,59,4.68,47,65,hard,medium,3,6,58.9,4,1
DBMS Lab - SQL Queries,lab_experiment,5,1,9.5,35,7.62,38,87,easy,high,8,2,72.8,1,1
Weekly Test (Sem 4),exam,21,16,18.4,49,9.5,21,60,hard,high,6,5,61.3,2,1
Computer Graphics Assignment,assignment,29,28,42.1,19,9.52,14,97,hard,high,2,1,49.6,4,1
Internal Assessment #4,exam,24,21,78.6,59,8.15,26,88,easy,high,0,5,32.8,-3,0
Research Project (Sem 7),project,14,12,69.4,56,6.98,36,69,medium,high,7,0,49.4,4,1
Machine Learning Assignment (Sem 4),assignment,16,15,1.1,5,6.35,32,37,easy,medium,8,4,55.2,9,1
IoT Based Project (Sem 5),project,34,30,61.2,31,6.4,45,12,medium,low,7,2,47.3,1,1
Networking Assignment (Sem 2),assignment,30,28,52.2,32,5.23,40,79,easy,medium,3,0,41.6,-1,0
Data Structures Assignment #3,assignment,22,21,24.9,69,5.92,40,47,hard,medium,6,0,52.2,5,1
Web Dev Assignment,assignment,31,28,31.8,12,8.64,17,33,hard,medium,9,4,59.3,2,1
Industry Internship Project (Sem 4),project,28,26,12.8,86,8.36,42,34,hard,medium,4,6,46.0,-2,0
Surprise Test #5,exam,28,23,54.3,0,4.41,20,83,hard,high,8,4,79.0,9,1
Machine Learning Assignment (Sem 4),assignment,7,5,65.4,39,9.34,28,73,hard,high,4,5,69.0,3,1
Surprise Test,exam,31,30,45.0,97,7.5,14,84,hard,medium,10,4,42.0,-2,0
Data Structures Assignment (Sem 3),assignment,16,12,63.6,17,4.59,7,15,hard,medium,9,0,59.3,2,1
Network Lab - Packet Analysis,lab_experiment,22,20,23.7,10,8.77,37,28,easy,high,0,1,35.7,-1,0
Module Exam #5,exam,31,28,17.5,28,7.63,22,31,hard,medium,8,2,52.6,6,1
DBMS Assignment #4,assignment,29,25,49.3,34,8.55,20,50,medium,high,5,4,55.2,13,1
Online Quiz #5,exam,5,5,38.2,31,6.61,36,89,hard,high,9,6,79.4,4,1
Group Project - Web App,project,5,3,71.7,23,6.83,35,35,medium,high,1,0,58.9,9,1
Viva Voce (Sem 8),exam,18,18,29.2,73,4.6,23,47,easy,low,2,2,27.7,-1,0
Open Source Contribution #2,project,6,6,78.8,2,5.08,6,39,medium,high,10,2,74.2,5,1
Math Assignment (Sem 4),assignment,23,21,62.4,0,8.81,11,63,medium,high,10,3,59.1,9,1
Mid-Semester Exam (Sem 1),exam,33,28,19.1,63,4.41,39,58,medium,critical,1,0,49.3,3,1
Algorithms Assignment #4,assignment,17,17,45.5,98,8.0,16,31,very_hard,low,6,0,37.0,-1,0
Compiler Lab - Lexical Analysis (Sem 2),lab_experiment,25,25,35.6,77,9.55,50,66,hard,low,4,3,39.6,11,1
Data Structures Assignment,assignment,10,10,7.0,57,8.88,26,88,easy,high,8,5,48.2,10,1
Computer Graphics Assignment (Sem 4),assignment,26,25,33.3,2,8.2,46,45,medium,medium,10,0,49.2,0,0
Final Year Project (Sem 8),project,14,12,11.1,26,7.47,40,41,very_hard,high,2,5,71.8,14,1
Surprise Test,exam,29,29,41.7,76,7.22,5,24,medium,low,4,5,37.3,-1,0
Practical Exam (Sem 7),exam,33,30,7.5,62,4.09,21,13,hard,high,9,3,64.7,9,1
Internal Assessment (Sem 6),exam,2,1,78.0,80,6.73,23,40,hard,critical,1,6,81.3,10,1
Software Engineering Assignment #3,assignment,20,18,73.5,3,6.46,8,83,hard,high,7,4,72.2,6,1
Final Year Project #4,project,5,1,16.0,81,9.97,50,38,hard,low,0,6,55.8,7,1
Network Lab - Packet Analysis,lab_experiment,29,25,23.3,20,7.33,18,42,hard,medium,7,2,58.8,14,1
DS Lab - Linked List #2,lab_experiment,2,2,17.6,19,4.68,38,62,easy,high,0,5,67.0,3,1
Practical Exam,exam,32,28,60.7,75,7.73,16,87,medium,high,10,3,44.6,-1,0
Capstone Project,project,8,6,27.7,22,4.43,27,52,easy,critical,2,6,72.3,2,1
Industry Internship Project #1,project,15,11,63.0,38,4.69,41,11,medium,medium,9,0,51.5,7,1
Viva Voce (Sem 3),exam,6,4,5.4,78,7.01,29,64,medium,critical,10,0,60.3,14,1
Final Year Project #1,project,23,19,49.0,1,4.08,10,80,easy,critical,3,0,59.8,6,1
Online Quiz #4,exam,5,5,78.7,52,5.17,44,30,hard,high,4,6,78.0,6,1
Web Dev Assignment #4,assignment,18,14,79.7,65,7.46,25,57,hard,high,9,3,59.5,8,1
End-Semester Exam #3,exam,34,29,40.5,63,8.46,14,30,easy,low,3,6,27.8,0,0
Embedded Systems Lab,lab_experiment,11,9,15.7,30,5.06,13,89,easy,medium,10,0,45.3,5,1
Web Dev Assignment (Sem 4),assignment,20,18,18.3,37,5.15,35,19,hard,medium,6,0,58.1,10,1
Networking Assignment (Sem 2),assignment,12,8,5.0,26,5.31,19,22,medium,low,6,5,56.7,1,1
Weekly Test (Sem 1),exam,15,14,8.0,46,9.03,50,62,medium,critical,10,1,57.8,4,1
IoT Based Project #5,project,7,7,63.3,90,6.26,9,74,easy,low,10,1,32.9,0,0
Unit Test (Sem 4),exam,31,29,1.6,45,5.77,36,55,medium,medium,10,3,55.6,10,1
Network Lab - Packet Analysis (Sem 2),lab_experiment,29,25,71.5,20,7.04,45,10,hard,low,9,0,52.5,8,1
Final Year Project #1,project,19,14,76.9,14,6.74,26,61,medium,medium,10,4,57.8,8,1
Mobile App Development,project,25,22,39.7,94,8.45,21,49,easy,high,5,3,36.3,-1,0
IOT Lab Experiment #3,lab_experiment,34,30,6.9,18,9.55,12,74,very_hard,high,2,4,63.6,11,1
Practical Exam (Sem 5),exam,10,8,36.3,24,5.95,29,43,easy,medium,4,6,55.1,11,1
Networking Assignment #1,assignment,18,13,30.4,63,5.87,21,55,medium,medium,3,0,38.5,-2,0
Networking Assignment #5,assignment,10,10,13.1,75,5.53,16,83,hard,medium,3,1,44.6,0,0
Data Structures Assignment,assignment,3,2,66.3,77,9.18,10,96,hard,high,2,3,56.6,12,1
Mini Project,project,16,11,7.7,69,8.51,35,98,medium,low,3,0,23.7,-1,0
DBMS Lab - SQL Queries (Sem 3),lab_experiment,17,15,39.8,25,5.75,6,89,medium,low,8,0,45.6,5,1
Viva Voce,exam,23,20,76.5,34,7.12,11,81,medium,low,8,6,49.3,13,1
Unit Test #5,exam,10,9,65.5,65,5.52,29,80,medium,high,6,0,51.9,8,1
Module Exam #4,exam,27,22,23.4,84,7.67,46,16,medium,critical,6,0,47.8,1,1
Digital Electronics Lab,lab_experiment,30,30,39.7,38,4.12,50,73,medium,high,7,1,61.4,8,1
Module Exam,exam,8,3,55.3,93,4.02,7,73,very_hard,high,7,6,84.1,1,1
Software Engineering Assignment #2,assignment,8,4,25.9,8,9.51,33,71,easy,medium,7,3,55.7,8,1
End-Semester Exam,exam,14,12,44.3,70,9.88,38,79,hard,high,4,2,49.8,11,1
AI Lab - Search Algorithms #3,lab_experiment,27,23,60.0,65,6.42,27,38,medium,high,4,2,47.7,2,1
Embedded Systems Lab #3,lab_experiment,31,28,34.3,56,9.64,20,23,medium,low,4,0,27.8,0,0
Network Lab - Packet Analysis,lab_experiment,16,12,76.2,70,6.47,28,13,hard,medium,4,2,46.8,9,1
Online Quiz #5,exam,2,2,23.8,83,9.83,37,80,easy,critical,3,2,55.1,3,1
Unit Test (Sem 6),exam,9,5,70.1,81,6.85,6,52,easy,low,3,3,32.4,-2,0
Research Project,project,17,16,8.8,80,5.54,50,80,medium,critical,8,3,65.0,5,1
Embedded Systems Lab (Sem 6),lab_experiment,27,25,37.9,21,4.41,29,26,medium,medium,3,1,49.7,12,1
OS Lab - Process Scheduling,lab_experiment,8,3,54.4,100,5.34,40,88,medium,low,10,6,59.0,8,1
Module Exam (Sem 3),exam,7,6,51.2,45,4.96,25,76,hard,high,9,3,76.5,4,1
Digital Electronics Lab,lab_experiment,16,14,47.1,9,6.36,44,76,hard,medium,5,3,65.6,2,1
Computer Vision Lab (Sem 1),lab_experiment,12,9,52.0,97,4.7,45,10,medium,medium,2,2,35.1,-1,0
IoT Based Project,project,9,7,38.7,57,9.55,40,56,easy,high,4,4,52.6,10,1
Mid-Semester Exam (Sem 5),exam,17,14,77.8,60,7.69,33,29,medium,high,2,3,40.3,0,0
Algorithms Assignment (Sem 1),assignment,12,9,73.9,6,7.17,43,79,easy,medium,6,0,48.1,9,1
Weekly Test #3,exam,30,28,13.7,14,6.34,15,93,easy,critical,1,0,46.7,12,1
Machine Learning Assignment #2,assignment,24,20,75.2,40,4.8,10,93,easy,critical,5,4,66.0,5,1
Group Project - Web App (Sem 4),project,8,3,38.4,72,8.02,21,28,medium,medium,9,0,47.7,2,1
Capstone Project (Sem 7),project,20,20,55.5,42,9.62,17,69,easy,low,10,1,30.3,0,0
Computer Vision Lab (Sem 7),lab_experiment,10,10,71.5,81,9.41,18,62,medium,low,6,5,35.6,-3,0
Viva Voce,exam,18,18,62.8,21,6.37,12,33,very_hard,medium,4,0,59.0,5,1
Mobile App Development (Sem 4),project,3,0,20.5,35,6.52,5,72,hard,high,0,5,77.5,14,1
Mobile App Development #5,project,10,8,67.1,76,8.15,25,53,very_hard,medium,4,4,52.3,9,1
Industry Internship Project #3,project,17,17,1.4,22,9.71,47,88,medium,medium,5,1,47.3,2,1
IoT Based Project (Sem 6),project,14,13,55.2,80,6.84,13,37,medium,critical,1,6,48.3,-2,0
AI Lab - Search Algorithms,lab_experiment,10,7,27.9,50,9.2,31,75,medium,medium,9,0,46.1,7,1
Networking Assignment #5,assignment,21,17,19.2,16,6.91,30,21,medium,medium,8,2,53.8,9,1
OS Assignment,assignment,10,10,14.8,41,6.89,38,25,very_hard,high,2,2,62.6,7,1
Software Engineering Assignment (Sem 2),assignment,16,16,42.6,44,5.63,7,60,easy,high,3,4,50.9,13,1
Final Year Project (Sem 8),project,23,18,21.4,98,8.56,26,10,medium,critical,7,1,45.0,-2,0
OS Lab - Process Scheduling,lab_experiment,4,3,24.7,99,6.58,33,85,medium,critical,1,0,51.5,4,1
OS Lab - Process Scheduling #2,lab_experiment,0,0,39.5,86,4.96,10,50,hard,critical,5,6,95.8,12,1
Internal Assessment #1,exam,23,20,39.6,1,8.2,44,46,easy,medium,7,4,52.2,2,1
End-Semester Exam (Sem 6),exam,19,14,74.2,28,6.52,8,62,hard,critical,4,0,64.2,6,1
Networking Assignment #1,assignment,15,14,19.4,47,5.24,33,82,easy,low,3,6,42.9,2,1
Capstone Project,project,23,19,33.8,94,9.44,40,18,hard,high,4,4,49.2,2,1
Viva Voce,exam,12,11,53.6,40,6.43,14,37,hard,critical,4,6,72.4,14,1
ML Model Project (Sem 8),project,7,4,7.8,44,6.13,9,39,medium,medium,5,5,60.1,13,1
Industry Internship Project (Sem 1),project,19,15,51.1,37,4.6,37,63,very_hard,medium,10,6,76.3,4,1
Embedded Systems Lab (Sem 4),lab_experiment,14,9,60.2,76,7.52,26,72,easy,low,3,2,20.4,-2,0
Data Structures Assignment,assignment,28,26,74.6,67,7.79,20,78,hard,high,9,5,57.6,4,1
DBMS Lab - SQL Queries,lab_experiment,26,21,79.0,73,4.81,25,98,hard,high,4,4,61.9,4,1
Mini Project,project,17,14,15.7,71,9.51,49,23,very_hard,medium,0,6,45.7,14,1
Software Engineering Assignment (Sem 1),assignment,8,8,19.0,78,8.19,47,61,easy,low,8,0,24.1,0,0
Algorithms Assignment,assignment,14,9,41.5,8,7.65,41,24,easy,medium,4,2,43.5,-3,0
Mid-Semester Exam #1,exam,25,23,78.2,10,6.04,6,87,hard,critical,5,3,76.6,9,1
OS Assignment,assignment,4,2,18.6,23,7.61,11,43,hard,high,8,5,80.5,3,1
DS Lab - Linked List,lab_experiment,13,8,38.8,21,8.64,32,31,hard,high,1,4,54.0,13,1
Computer Vision Lab #1,lab_experiment,29,28,36.1,56,9.14,17,10,medium,high,10,2,46.5,1,1
Embedded Systems Lab,lab_experiment,33,28,14.0,45,8.94,47,46,easy,high,10,5,52.7,7,1
Mobile App Development #3,project,7,4,59.7,90,5.88,19,30,hard,critical,3,5,72.9,7,1
Practical Exam #4,exam,5,3,47.3,0,4.19,28,88,easy,critical,2,2,77.8,1,1
OS Lab - Process Scheduling,lab_experiment,35,30,41.1,100,5.86,29,44,very_hard,medium,6,1,54.9,1,1
Software Engineering Assignment (Sem 6),assignment,6,1,23.7,78,5.62,30,62,hard,medium,6,6,84.4,6,1
Math Assignment #4,assignment,25,21,13.0,29,9.89,5,27,medium,medium,4,4,44.7,-2,0
Viva Voce,exam,17,15,67.5,21,8.91,48,75,easy,medium,3,5,44.6,0,0
Viva Voce,exam,2,2,70.8,42,6.6,41,71,medium,low,6,6,65.7,5,1
